model,CHE,without CE (no detail specified),SMT before and after channel,channel V intrinsic (z=0) other without CE,with CE (no detail specified),channel I intrinsic (z=0) classic CE (SMT+CE),channel III intrinsic (z=0) SCCE,channel IV intrinsic (z=0) DCCE,channel V intrinsic (z=0) other with CE,channel V intrinsic (z=0) CE not specified,All intrinsic (z=0) [Gpc^-3 yr^-1],fraction without common envelope,fraction with common envelope,fraction CHE,fraction not specified
Boesky_sigma_30_RMP_D,0.000000000000,0.02671700000,0.00000000000,0.00000000000,0.52379000000,0.00000000000,0.15635700000,0.00382400000,0.28931100000,0.00000000000,551.50450000000,0.02671700000,0.97328200000,0.000000000000,0.00000000000
Boesky_sigma_30_RMP_M,0.000000000000,0.01450800000,0.00000000000,0.00000000000,0.62983500000,0.00000000000,0.22097900000,0.01546400000,0.11921300000,0.00000000000,743.49720000000,0.01450800000,0.98549100000,0.000000000000,0.00000000000
Boesky_sigma_30_RMP_R,0.000000000000,0.00098900000,0.00000000000,0.00000000000,0.69687400000,0.00000000000,0.11997900000,0.00169500000,0.18046300000,0.00000000000,596.31500000000,0.00098900000,0.99901100000,0.000000000000,0.00000000000
Boesky_sigma_265_RMP_D,0.000000000000,0.20017300000,0.00000000000,0.00000000000,0.14254400000,0.00000000000,0.47319400000,0.01274100000,0.17134800000,0.00000000000,54.63308000000,0.20017300000,0.79982700000,0.000000000000,0.00000000000
Boesky_sigma_265_RMP_M,0.000000000000,0.10724900000,0.00000000000,0.00000000000,0.60524200000,0.00000000000,0.03215500000,0.02654300000,0.22881100000,0.00000000000,27.56318000000,0.10724900000,0.89275100000,0.000000000000,0.00000000000
Boesky_sigma_265_RMP_R,0.000000000000,0.11762800000,0.00000000000,0.00000000000,0.69942900000,0.00000000000,0.12569600000,0.00217600000,0.05507100000,0.00000000000,351.73640000000,0.11762800000,0.88237200000,0.000000000000,0.00000000000
Boesky_sigma_750_RMP_D,0.000000000000,0.00719700000,0.00000000000,0.00000000000,0.41063100000,0.00000000000,0.44721200000,0.01019200000,0.12476800000,0.00000000000,15.24295000000,0.00719700000,0.99280300000,0.000000000000,0.00000000000
Boesky_sigma_750_RMP_M,0.000000000000,0.01076900000,0.00000000000,0.00000000000,0.66565800000,0.00000000000,0.00866600000,0.21680100000,0.09810500000,0.00000000000,3.69264300000,0.01076900000,0.98923000000,0.000000000000,0.00000000000
Boesky_sigma_750_RMP_R,0.000000000000,0.00240900000,0.00000000000,0.00000000000,0.91619600000,0.00000000000,0.07149900000,0.00442600000,0.00547000000,0.00000000000,229.52770000000,0.00240900000,0.99759100000,0.000000000000,0.00000000000
RG21-SN:N20,0.000000000000,0.02951838426,0.00000000000,0.00000000000,0.97048161570,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,77.24000000000,0.02951838426,0.97048161570,0.000000000000,0.00000000000
RG21-SN:rapid,0.000000000000,0.28205128210,0.00000000000,0.00000000000,0.71794871790,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,10.14000000000,0.28205128210,0.71794871790,0.000000000000,0.00000000000
RG21-SN:delayed,0.000000000000,0.54159292040,0.00000000000,0.00000000000,0.45840707960,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,5.65000000000,0.54159292040,0.45840707960,0.000000000000,0.00000000000
RG21-ESCN:Full-SN:N20,0.000000000000,0.04311463590,0.00000000000,0.00000000000,0.95688536410,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,69.35000000000,0.04311463590,0.95688536410,0.000000000000,0.00000000000
RG21-ESCN:Full-SN:rapid,0.000000000000,0.29131652660,0.00000000000,0.00000000000,0.70868347340,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,10.71000000000,0.29131652660,0.70868347340,0.000000000000,0.00000000000
RG21-ECSN:Full-SN:delayed,0.000000000000,0.49569707400,0.00000000000,0.00000000000,0.50430292600,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,5.81000000000,0.49569707400,0.50430292600,0.000000000000,0.00000000000
RG21-noBHkick-SN:N20,0.000000000000,0.02951838426,0.00000000000,0.00000000000,0.97048161570,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,77.24000000000,0.02951838426,0.97048161570,0.000000000000,0.00000000000
RG21-noBHkick-SN:rapid,0.000000000000,0.11366384520,0.00000000000,0.00000000000,0.88633615480,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,16.54000000000,0.11366384520,0.88633615480,0.000000000000,0.00000000000
RG21-noBH-kick-SN:delayed,0.000000000000,0.07621671258,0.00000000000,0.00000000000,0.92378328740,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,32.67000000000,0.07621671258,0.92378328740,0.000000000000,0.00000000000
Olejak21-M380 (fiducial),0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.77099236641,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.22900763359,13.10000000000,0.00000000000,0.77099236641,0.000000000000,0.22900763359
Olejak21-M480 (changedCEcriteria),0.000000000000,0.07692307692,0.00000000000,0.00000000000,0.80769230769,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.11538461538,15.60000000000,0.07692307692,0.80769230769,0.000000000000,0.11538461538
Olejak21-M481 (changedCEcriteria+switch),0.000000000000,0.00000000000,0.00000000000,0.00000000000,0.73170731707,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.26829268293,4.10000000000,0.00000000000,0.73170731707,0.000000000000,0.26829268293
Xing24_fiducial,0.000000000000,0.30000000000,0.00000000000,0.00000000000,0.70000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,72.00000000000,0.30000000000,0.70000000000,0.000000000000,0.00000000000
Xing24_alpha_2,0.000000000000,0.14000000000,0.00000000000,0.00000000000,0.86000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,162.00000000000,0.14000000000,0.86000000000,0.000000000000,0.00000000000
Xing24_sigma_150,0.000000000000,0.25000000000,0.00000000000,0.00000000000,0.75000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,193.00000000000,0.25000000000,0.75000000000,0.000000000000,0.00000000000
Xing24_sigma_61_6,0.000000000000,0.03000000000,0.00000000000,0.00000000000,0.97000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,408.00000000000,0.03000000000,0.97000000000,0.000000000000,0.00000000000
R25-A-Fiducial,0.000000000000,0.01570680628,0.00000000000,0,0.7823485415,0.00000000000,0,0.2019446522,0,0,13.37,0.01570680628,0.98429319370,0.000000000000,0.00000000000
R25-B-RMAX,0.000000000000,0.01505016722,0.00000000000,0,0.8035117057,0.00000000000,0,0.1814381271,0,0,11.96,0.01505016722,0.98494983280,0.000000000000,0.00000000000
R25-C-Conv_ML1.5,0.000000000000,0.02350081037,0.00000000000,0,0.971636953,0.00000000000,0,0.004862236629,0,0,12.34,0.02350081037,0.97649918963,0.000000000000,0.00000000000
R25-D-Conv_ML1.5_RMAX,0.000000000000,0.01276935355,0.00000000000,0,0.9760574621,0.00000000000,0.01037509976,0.000798084597,0,0,12.53,0.01276935355,0.98723064646,0.000000000000,0.00000000000
R25-E-Conv_ML1.82_MLTpp,0.000000000000,0,0.00000000000,0,0.9256329114,0.00000000000,0.007911392405,0.0664556962,0,0,12.64,0.00000000000,1.00000000001,0.000000000000,0.00000000000
R25-E-Conv_ML1.82_MLTpp_RMAX,0.000000000000,0,0.00000000000,0,0.9573268921,0.00000000000,0.01771336554,0.02495974235,0,0,12.42,0.00000000000,0.99999999999,0.000000000000,0.00000000000
R23-A-Fiducial,0.000000000000,0.002664890073,0.00000000000,0,0.8027981346,0.00000000000,0,0.1945369753,0,0,15.01,0.00266489007,0.99733510990,0.000000000000,0.00000000000
R23-B-RMAX2,0.000000000000,0.0006778741866,0.00000000000,0,0.8270065076,0.00000000000,0.0001355748373,0.1721800434,0,0,14.752,0.00067787419,0.99932212584,0.000000000000,0.00000000000
R23-C-RMAX3,0.000000000000,0.001513546239,0.00000000000,0,0.2885828162,0.00000000000,0.00005045154129,0.709853186,0,0,19.821,0.00151354624,0.99848645374,0.000000000000,0.00000000000
R23-D-RMAX4,0.000000000000,0.001,0.00000000000,0,0.714,0.00000000000,0.002,0.283,0,0,10,0.00100000000,0.99900000000,0.000000000000,0.00000000000
R23-E-RMAX4B,0.000000000000,0.0006305050976,0.00000000000,0,0.8423548104,0.00000000000,0.00001891515293,0.1569957693,0,0,15.8603,0.00063050510,0.99936949485,0.000000000000,0.00000000000
ShaoLi_rapid,0,0.28,0,0,0.72,0,0,0,0,0,17.4,0.28000000000,0.72000000000,0.000000000000,0.00000000000
ShaoLi_delayed,0,0.41,0,0,0.59,0,0,0,0,0,10.2,0.41000000000,0.59000000000,0.000000000000,0.00000000000
ShaoLi_stochastic ,0,0.14,0,0,0.86,0,0,0,0,0,71.7,0.14000000000,0.86000000000,0.000000000000,0.00000000000
