Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.001,1.0,37573,4407,7096,1232,2297,2154,4917,18359,4548,0,4548,1652,404,1248,7856,3,3339,0,27,0,49710,220,949,1762,404,0,404,1291,355,936,2177,3,440,0,27,0,8500,102,705,1552,4734,0,4734,13,10,3,2309,1,2919,0,242,0,13708,255,645,157,415,0,415,13,10,3,666,1,167,0,242,0,2205,255,1219,0,676,0,676,395,357,38,98,0,1505,0,689,0,2295,2278,1168,0,667,0,667,319,309,10,1,0,1464,0,689,0,2024,2278,fiducial_notides_pericirc
0.002,1.0,37006,6265,8130,1867,3260,2500,7434,16455,3926,0,3926,1821,528,1293,10674,9,2599,0,2,0,53243,178,3299,1443,413,0,413,1107,179,928,4342,8,478,0,2,0,12213,69,1313,1573,4927,0,4927,206,195,11,2699,0,3655,0,108,0,15629,356,1199,166,302,0,302,200,190,10,1178,0,415,0,108,0,3375,355,1519,0,799,0,799,934,864,70,345,3,2037,0,872,0,4018,2482,1469,0,766,0,766,263,235,28,16,3,1612,0,872,0,2513,2482,fiducial_notides_pericirc
0.004,1.0,37519,8306,8530,2649,3869,2733,12242,11111,4035,0,4035,2750,1791,959,18748,14,366,0,0,0,54564,16,6642,577,118,0,118,969,575,394,7612,6,117,0,0,0,16558,0,3023,1644,3372,0,3372,401,292,109,3080,0,3632,0,105,0,15191,1557,1971,181,174,0,174,323,228,95,857,0,1506,0,105,0,3716,1557,1389,0,877,0,877,1599,1501,98,582,0,2317,0,966,0,5001,2723,1221,0,819,0,819,693,656,37,15,0,1752,0,966,0,2741,2720,fiducial_notides_pericirc
0.006,1.0,35026,4164,7148,1535,3993,2726,9729,13915,807,0,807,2629,1665,964,13217,27,16,0,0,0,51336,0,3468,419,0,0,0,276,88,188,3745,6,0,0,0,0,8315,0,2750,1690,2251,0,2251,406,382,24,3582,0,1845,0,0,0,13966,22,1175,186,20,0,20,154,139,15,1321,0,28,0,0,0,3039,22,1446,0,1014,0,1014,1532,1432,100,886,0,2028,0,1078,0,5309,2671,1260,0,980,0,980,486,447,39,55,0,1593,0,1078,0,2780,2670,fiducial_notides_pericirc
0.008,1.0,32129,1849,7476,657,3918,2708,10533,7972,1618,0,1618,2975,2162,813,15145,12,52,0,0,0,45314,0,1650,109,0,0,0,89,3,86,1739,0,0,0,0,0,3693,0,2366,1410,3012,0,3012,602,564,38,3542,1,2464,0,0,0,14569,11,371,188,28,0,28,70,56,14,448,0,21,0,0,0,1302,10,1358,0,1214,0,1214,1343,1258,85,861,1,1772,0,1282,0,5168,2660,1193,0,1164,0,1164,351,317,34,56,1,1370,0,1282,0,2761,2654,fiducial_notides_pericirc
0.01,1.0,30096,852,7053,417,3653,2657,8855,8221,708,0,708,2625,1968,657,12194,10,73,0,0,0,46671,0,421,405,0,0,0,26,1,25,447,0,0,0,0,0,1703,0,2563,1067,2674,0,2674,555,527,28,3557,1,2268,0,0,0,13492,19,200,159,32,0,32,26,19,7,230,0,28,0,0,0,812,18,915,1,1557,0,1557,1147,1063,84,628,0,1348,0,1643,0,4622,2615,822,0,1523,0,1523,312,275,37,37,0,977,0,1643,0,2699,2614,fiducial_notides_pericirc
0.014,1.0,24502,23,6693,166,3920,3115,5937,5162,259,0,259,1784,1497,287,7958,6,341,0,0,0,40514,0,3,1,0,0,0,19,0,19,22,0,0,0,0,0,45,0,1355,227,4481,0,4481,331,317,14,2108,0,4122,0,0,0,12717,2,55,12,94,0,94,5,4,1,74,0,80,0,0,0,325,1,868,8,2061,0,2061,943,872,71,443,0,1365,0,2065,0,4667,3091,820,1,1991,0,1991,302,260,42,21,0,1028,0,2065,0,3138,3090,fiducial_notides_pericirc
0.017,1.0,22705,18,5980,147,4309,3549,4096,4972,19,0,19,1533,1329,204,6131,6,69,0,0,0,39100,42,0,2,0,0,0,15,2,13,15,0,0,0,0,0,35,0,2168,276,2882,0,2882,391,383,8,2792,0,2844,0,0,0,11525,41,84,1,47,0,47,10,10,0,99,0,47,0,0,0,284,6,820,0,2533,0,2533,952,905,47,392,1,1386,0,2527,0,5066,3543,805,0,2411,0,2411,333,307,26,19,1,1003,0,2527,0,3555,3542,fiducial_notides_pericirc
0.02,1.0,16914,9,5310,157,4805,4057,2040,4175,0,0,0,676,586,90,3308,13,13,0,0,0,29782,33,0,0,0,0,0,7,0,7,7,0,0,0,0,0,15,0,2305,267,1840,0,1840,214,212,2,3148,1,1840,0,0,0,10302,68,114,0,26,0,26,5,5,0,131,0,26,0,0,0,306,3,912,0,2804,0,2804,1084,1049,35,381,2,1444,0,2975,0,5374,4225,878,0,2691,0,2691,488,470,18,13,1,1069,0,2975,0,3897,4216,fiducial_notides_pericirc
0.03,1.0,8037,2,4960,210,5175,4550,334,2757,0,0,0,23,0,23,421,6,0,0,0,0,15002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3101,77,85,0,85,135,133,2,4770,0,85,0,0,0,9815,10,183,2,0,0,0,4,4,0,208,0,0,0,0,0,411,5,755,2,2954,0,2954,1463,1434,29,355,1,1191,0,3626,0,5309,5036,676,0,2879,0,2879,995,980,15,12,0,912,0,3626,0,4065,5033,fiducial_notides_pericirc
