Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.0002,5.0,32258,5472,6569,1465,13326,10374,2098,17281,1119,0,1119,1967,154,1813,5178,855,22,0,0,0,19049,60,1794,2156,46,0,46,1471,13,1458,3299,413,16,0,0,0,10192,30,1401,2266,2722,0,2722,80,2,78,3652,1129,539,0,44,0,9007,581,800,394,190,0,190,77,2,75,582,382,445,0,44,0,2112,581,9174,0,2613,0,2613,1532,1309,223,1562,2310,9959,6,1803,0,15346,11277,7966,0,1209,0,1209,1198,1156,42,52,2177,8721,6,1601,0,9697,11033,fiducial_pisnfarmer19
0.0004,5.0,31488,6140,6507,1529,14112,12160,3639,13965,1892,0,1892,2472,157,2315,7265,960,818,0,0,0,25599,136,2266,1825,203,0,203,1842,67,1775,4167,453,147,0,0,0,11812,45,903,1017,4338,0,4338,175,6,169,3644,1229,1759,0,28,0,11833,333,814,321,256,0,256,138,4,134,866,380,314,0,28,0,2667,333,10402,0,1422,0,1422,2281,2032,249,1459,2456,10940,8,1711,0,14984,13216,9489,0,914,0,914,1756,1725,31,66,2326,10454,7,1640,0,11233,13073,fiducial_pisnfarmer19
0.0006,5.0,33031,5672,6393,1390,11696,8277,4092,14083,3141,0,3141,2597,134,2463,7714,654,2210,1,0,0,34880,145,2481,1321,70,0,70,1795,47,1748,4308,274,42,0,0,0,11075,20,939,900,4314,0,4314,175,17,158,3641,809,1791,2,5,0,12176,182,823,280,155,0,155,132,11,121,941,308,164,0,5,0,2569,182,8631,0,773,0,773,2287,2053,234,2943,925,7839,1,912,0,14332,9032,6721,0,273,0,273,1283,1255,28,102,776,7298,1,877,0,7683,8860,fiducial_pisnfarmer19
0.0008,5.0,32231,5714,6151,1338,7729,4694,4849,11729,3867,0,3867,2701,161,2540,8371,572,3142,1,0,0,37711,118,2602,1229,86,0,86,1794,69,1725,4437,259,48,0,0,0,11217,18,975,806,4087,0,4087,201,22,179,3214,806,2060,0,1,0,11838,126,837,227,134,0,134,139,15,124,1001,327,109,0,1,0,2535,126,4939,0,651,0,651,2131,1877,254,2233,650,4920,2,572,0,10332,5110,3778,0,135,0,135,781,749,32,116,486,4008,2,570,0,4284,5102,fiducial_pisnfarmer19
0.001,5.0,31356,5767,6095,1272,6469,4020,5439,10945,3623,0,3623,2513,218,2295,8817,631,2857,2,0,0,37879,53,2759,1247,97,0,97,1663,128,1535,4457,267,63,0,0,0,11380,15,910,944,3901,0,3901,244,43,201,3096,896,1971,1,0,0,11814,64,786,225,107,0,107,153,31,122,970,340,77,1,0,0,2470,64,3985,0,399,0,399,2076,1858,218,1848,683,4107,3,508,0,8506,4413,3216,0,102,0,102,702,670,32,124,490,3391,3,505,0,3642,4398,fiducial_pisnfarmer19
0.002,5.0,30576,5160,5870,1081,5524,3070,5951,11516,2756,0,2756,2157,423,1734,8909,286,2037,0,0,0,40580,74,3101,1166,43,0,43,849,114,735,3980,117,14,0,0,0,10258,18,1020,982,3419,0,3419,340,143,197,2647,425,2140,0,0,0,11398,39,692,182,69,0,69,138,48,90,856,239,43,0,0,0,2121,39,2836,0,564,0,564,2115,1938,177,1405,396,3631,0,480,0,7652,3377,2358,0,136,0,136,576,558,18,87,291,2552,0,431,0,2838,3302,fiducial_pisnfarmer19
0.004,5.0,29443,2088,5513,711,3608,948,7003,9389,2488,0,2488,2280,1211,1069,10810,66,1024,0,0,0,38298,50,1700,211,4,0,4,173,60,113,1875,12,2,0,0,0,4138,31,2030,1377,1674,0,1674,349,247,102,2834,125,1231,0,0,0,10747,24,447,195,19,0,19,50,25,25,501,55,15,0,0,0,1397,24,911,0,836,0,836,1857,1742,115,1301,71,1579,0,725,0,5737,1472,408,0,181,0,181,359,350,9,105,33,408,0,435,0,783,1113,fiducial_pisnfarmer19
0.006,5.0,28212,282,4495,417,3658,982,6302,9979,631,0,631,2271,1405,866,9016,26,234,0,0,0,38421,36,88,131,0,0,0,62,36,26,150,0,0,0,0,0,525,36,1843,1379,950,0,950,277,243,34,2306,22,777,0,0,0,8805,26,219,151,8,0,8,39,32,7,259,4,7,0,0,0,807,26,871,0,951,0,951,1834,1744,90,1133,70,1499,0,1025,0,5453,1860,369,0,207,0,207,406,396,10,56,26,408,0,518,0,707,1257,fiducial_pisnfarmer19
0.008,5.0,26387,186,3940,256,3467,943,6316,6045,1421,0,1421,2551,1849,702,10083,52,257,0,0,0,34057,41,60,80,0,0,0,46,44,2,106,0,0,0,0,0,331,41,1236,1124,1145,0,1145,359,333,26,1813,0,939,0,0,0,7597,28,77,131,14,0,14,34,30,4,114,0,11,0,0,0,486,25,752,0,976,0,976,1734,1670,64,880,82,1549,0,1034,0,5064,1861,400,0,208,0,208,335,332,3,28,27,432,0,483,0,692,1194,fiducial_pisnfarmer19
0.01,5.0,25113,362,3827,192,3392,1138,5624,6208,617,0,617,2159,1630,529,8228,23,229,0,0,0,37287,31,134,197,0,0,0,31,31,0,165,0,0,0,0,0,692,31,1296,849,1178,0,1178,319,295,24,1872,3,932,0,0,0,7158,23,61,94,17,0,17,20,19,1,87,1,11,0,0,0,362,19,510,1,1194,0,1194,1652,1589,63,588,90,1517,0,1252,0,4611,2102,319,0,342,0,342,477,473,4,11,36,368,0,759,0,726,1550,fiducial_pisnfarmer19
