model,link to paper ,year,code,code_abbr,stellar_tracks,label_1,label_2,label_3,label_4,label_author,sigma,sigma_strippedSN,sigma extra,alpha,alpha extra ,beta,CE optimistic/pessimistic,CE prescription,lambda,RMP,RMP extra,PISN prescription,stability ,non-conservativeness AM loss ,Eddington limited accretion CO,f_WR
Boesky_alphaCE_2_beta0_5,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\alpha = 2$,$\beta = 0.5$,delayed SN,$\sigma = 265$,BO24,265,,Hobbs 2005,2,,0.5,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,,
Boesky_alphaCE_2_beta0_75,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\alpha = 2$,$\beta = 0.75$,delayed SN,$\sigma = 265$,BO24,265,,Hobbs 2005,2,,0.75,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,,
Boesky_alphaCE_10_beta0_25,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\alpha = 10$,$\beta = 0.25$,delayed SN,$\sigma = 265$,BO24,265,,Hobbs 2005,10,,0.25,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,,
Boesky_alphaCE_10_beta0_5,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\alpha = 10$,$\beta = 0.5$,delayed SN,$\sigma = 265$,BO24,265,,Hobbs 2005,10,,0.5,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,,
Boesky_alphaCE_10_beta0_75,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\alpha = 10$,$\beta = 0.75$,delayed SN,$\sigma = 265$,BO24,265,,Hobbs 2005,10,,0.75,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,,
Boesky_sigma_30_RMP_D,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\sigma = 30$,delayed SN,$\alpha = 0.5$, ,BO24,30,,Hobbs 2005,0.5,,thermal ,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,,
Boesky_sigma_30_RMP_M,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\sigma = 30$,MM SN,$\alpha = 0.5$, ,BO24,30,,Hobbs 2005,0.5,,thermal ,pessimistic ,standard,Nanjing,MM SN,,fit based on Marchant et al. (2019),zeta prescription,,,
Boesky_sigma_30_RMP_R,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\sigma = 30$,rapid SN,$\alpha = 0.5$, ,BO24,30,,Hobbs 2005,0.5,,thermal ,pessimistic ,standard,Nanjing,F12 rapid,Fryer 2012 rapid http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,,
Boesky_sigma_265_RMP_D,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\sigma = 265$,delayed SN,$\alpha = 0.5$, ,BO24,265,,Hobbs 2005,0.5,,thermal ,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,,
Boesky_sigma_265_RMP_M,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\sigma = 265$,MM SN,$\alpha = 0.5$, ,BO24,265,,Hobbs 2005,0.5,,thermal ,pessimistic ,standard,Nanjing,MM SN,Mandel and Muller 2022,fit based on Marchant et al. (2019),zeta prescription,,,
Boesky_sigma_265_RMP_R,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\sigma = 265$,rapid SN,$\alpha = 0.5$, ,BO24,265,,Hobbs 2005,0.5,,thermal ,pessimistic ,standard,Nanjing,F12 rapid,Fryer 2012 rapid http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,,
Boesky_sigma_750_RMP_D,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\sigma = 750$,delayed SN,$\alpha = 0.5$, ,BO24,750,,Hobbs 2005,0.5,,thermal ,pessimistic ,standard,Nanjing,F12 delayed,Fryer 2012 delayed http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,,
Boesky_sigma_750_RMP_M,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\sigma = 750$,MM SN,$\alpha = 0.5$, ,BO24,750,,Hobbs 2005,0.5,,thermal ,pessimistic ,standard,Nanjing,MM SN,Mandel and Muller 2022,fit based on Marchant et al. (2019),zeta prescription,,,
Boesky_sigma_750_RMP_R,https://arxiv.org/pdf/2405.01623,2024,COMPAS,COMP,SSE,$\sigma = 750$,rapid SN,$\alpha = 0.5$, ,BO24,750,,Hobbs 2005,0.5,,thermal ,pessimistic ,standard,Nanjing,F12 rapid,Fryer 2012 rapid http://adsabs.harvard.edu/abs/2012ApJ...749...91F,fit based on Marchant et al. (2019),zeta prescription,,,
Pellouin25,https://ui.adsabs.harvard.edu/abs/2025A%26A...693A.283P/abstract,2025,COSMIC,COSM,SSE,rapid SN,qcrit , , ,PE25,,,Hobbs 2005,,,,,,,,,,,,,
R25-A-Fiducial,https://arxiv.org/abs/2410.17315,2025,StarTrack,STarT,SSE,fiducial, , , ,RO25,,,Hobbs 2005,,,,,,,,,,,,,
R25-B-RMAX,https://arxiv.org/abs/2410.17315,2025,StarTrack,StarT,SSE,fiducial ,Rmax , , ,RO25,,,Hobbs 2005,,,,,,,,,,,,,
R25-C-Conv_ML1.5,https://arxiv.org/abs/2410.17315,2025,StarTrack,StarT,SSE,conv crit Klencki, , , ,RO25,,,Hobbs 2005,,,,,,,,,,,,,
R25-D-Conv_ML1.5_RMAX,https://arxiv.org/abs/2410.17315,2025,StarTrack,StarT,SSE,conv crit Klencki,Rmax , , ,RO25,,,Hobbs 2005,,,,,,,,,,,,,
R25-E-Conv_ML1.82_MLTpp,https://arxiv.org/abs/2410.17315,2025,StarTrack,STarT,SSE,conv crit MESA, , , ,RO25,,,Hobbs 2005,,,,,,,,,,,,,
R25-E-Conv_ML1.82_MLTpp_RMAX,https://arxiv.org/abs/2410.17315,2025,StarTrack,StarT,SSE,conv crit MESA,Rmax , , ,RO25,,,Hobbs 2005,,,,,,,,,,,,,
R23-A-Fiducial,https://arxiv.org/pdf/2211.15800,2023,StarTrack,StarT,SSE,fiducial, , , ,RO23,,,Hobbs 2005,,,,,,,,,,,,,
R23-B-RMAX2,https://arxiv.org/pdf/2211.15800,2023,StarTrack,StarT,SSE,Rmax METISSE BOOST , , , ,RO23,,,Hobbs 2005,,,,,,,,,,,,,
R23-C-RMAX3,https://arxiv.org/pdf/2211.15800,2023,StarTrack,StarT,SSE,Rmax METISSE MESA, , , ,RO23,,,Hobbs 2005,,,,,,,,,,,,,
R23-D-RMAX4,https://arxiv.org/pdf/2211.15800,2023,StarTrack,STarT,SSE,Rmax MESA MLT+++, , , ,RO23,,,Hobbs 2005,,,,,,,,,,,,,
R23-E-RMAX4B,https://arxiv.org/pdf/2211.15800,2023,StarTrack,StarT,SSE,Rmax MESA no MLT++, , , ,RO23,,,Hobbs 2005,,,,,,,,,,,,,
Xing24_fiducial,https://arxiv.org/pdf/2410.20415,2024,POSYDON,POSY,MESA,fiducial, , , ,Xing24,265,,Hobbs 2005,1,,,,,,delayed,,,,,,
Xing24_alpha_2,https://arxiv.org/pdf/2410.20415,2024,POSYDON,POSY,MESA,$\alpha = 2$, , , ,Xing24,265,,Hobbs 2005,2,,,,,,delayed,,,,,,
Xing24_sigma_150,https://arxiv.org/pdf/2410.20415,2024,POSYDON,POSY,MESA,$\sigma = 150$, , , ,Xing24,150,,Hobbs 2005,1,,,,,,delayed,,,,,,
Xing24_sigma_61_6,https://arxiv.org/pdf/2410.20415,2024,POSYDON,POSY,MESA,$\sigma = 62$, , , ,Xing24,61.6,,Hobbs 2005,1,,,,,,delayed,,,,,,
Hendriks23,https://arxiv.org/pdf/2309.09339,2023,binary c,binaryc,SSE,delayed SN,qcrit, , ,Hen23,265,,Hobbs 2005,,,,,,,delayed,,,,,,
van Son (2023) ,https://ui.adsabs.harvard.edu/abs/2023ApJ...948..105V,2023,COMPAS,COMP,SSE,delayed SN, , , ,vSon23,265, ,Hobbs 2005,1, , , , , , , , , , , ,1
R25-A-Fiducial_Optimistic,not used ,2025,StarTrack,StarT,SSE,fiducial,optimistic CE, , ,RO25,265, ,Hobbs 2005,1, , , , , , , , , , , ,1
R25-B-RMAX_Optimistic,not used ,2025,StarTrack,StarT,SSE,Rmax,optimistic CE, , ,RO25,265, ,Hobbs 2005,1, , , , , , , , , , , ,1
R23-A-Fiducial_Optimistic,not used ,2023,StarTrack,StarT,SSE,fiducial,optimistic CE, , ,RO23,265, ,Hobbs 2005,1, , , , , , , , , , , ,1
R23-B-RMAX2_Optimistic,not used ,2023,StarTrack,StarT,SSE,Rmax MET,optimistic CE, , ,RO23,265, ,Hobbs 2005,1, , , , , , , , , , , ,1
R23-C-RMAX3_Optimistic,not used ,2023,StarTrack,StarT,SSE,Rmax MET,optimistic CE, , ,RO23,265, ,Hobbs 2005,1, , , , , , , , , , , ,1
R23-D-RMAX4_Optimistic,not used ,2023,StarTrack,StarT,SSE,Rmax MLT+++,optimistic CE,,,RO23,265,,Hobbs 2005,1,,,,,,,,,,,,1
R23-E-RMAX4B_Optimistic,not used ,2023,StarTrack,STarT,SSE,Rmax MESA,optimistic CE,,,RO23,265,,Hobbs 2005,1,,,,,,,,,,,,1
Li25-a,https://arxiv.org/abs/2510.08231v1,2025,MOBSE,MOBSE,SSE,fiducial, , , ,Li25,265, ,Hobbs 2005,1, , , , , , , , ,$q_{\rm{c}}$, , ,1
Li25-b,https://arxiv.org/abs/2510.08231v1,,MOBSE,MOBSE,SSE,$\gamma = -2$, , , ,Li25,265, ,Hobbs 2005,1, , , , , , , , ,$q_{\rm{c}}$, , ,1
Li25-c,https://arxiv.org/abs/2510.08231v1,,MOBSE,MOBSE,SSE,$\alpha = 0.5$, , , ,Li25,265, ,Hobbs 2005,0.5, , , , , , , , ,$q_{\rm{c}}$, , ,1
Li25-d,https://arxiv.org/abs/2510.08231v1,,MOBSE,MOBSE,SSE,$\alpha = 2$, , , ,Li25,265, ,Hobbs 2005,2, , , , , , , , ,$q_{\rm{c}}$, , ,1
Li25-e,https://arxiv.org/abs/2510.08231v1,,MOBSE,MOBSE,SSE,$f_{WR} = 0.5$, , , ,Li25,265, ,Hobbs 2005,1, , , , , , , , ,$q_{\rm{c}}$, , ,0.5
Li25-f,https://arxiv.org/abs/2510.08231v1,,MOBSE,MOBSE,SSE,$f_{WR} = 2$, , , ,Li25,265, ,Hobbs 2005,1, , , , , , , , ,$q_{\rm{c}}$, , ,2
Li25-g,https://arxiv.org/abs/2510.08231v1,,MOBSE,MOBSE,SSE,$\sigma = 45$, ,, ,Li25,45, ,Hobbs 2005,1, , , , , , , , ,$q_{\rm{c}}$, , ,1
Li25-h,https://arxiv.org/abs/2510.08231v1,,MOBSE,MOBSE,SSE,$\sigma = 750$,,,,Li25,750,,Hobbs 2005,1,,,,,,,,,$q_{\rm{c}}$,,,1
Li25-i,https://arxiv.org/abs/2510.08231v1,,MOBSE,MOBSE,SSE,$q_{\rm{c}}$ Ge,,,,Li25,265,,Hobbs 2005,1,,,,,,,,,$q_{\rm{c}}$ Ge,,,1
Sgalletta_alpha_1,https://www.aanda.org/articles/aa/pdf/2025/06/aa52757-24.pdf,2025,SEVN,SEVN,PARSEC,fiducial ,,,,Sg25,265,,GM20 prescription,1,,,,,,,,,,,,
Sgalletta_alpha_0_5,https://www.aanda.org/articles/aa/pdf/2025/06/aa52757-24.pdf,2025,SEVN,SEVN,PARSEC,$\alpha = 0.5$,,,,Sg25,265,,GM20 prescription,0.5,,,,,,,,,,,,
Sgalletta_alpha_3,https://www.aanda.org/articles/aa/pdf/2025/06/aa52757-24.pdf,2025,SEVN,SEVN,PARSEC,$\alpha = 3$,,,,Sg25,265,,GM20 prescription,3,,,,,,,,,,,,
Sgalletta_alpha_5,https://www.aanda.org/articles/aa/pdf/2025/06/aa52757-24.pdf,2025,SEVN,SEVN,PARSEC,$\alpha = 5$,,,,Sg25,265,,GM20 prescription,5,,,,,,,,,,,,
