from_modelname,to_modelname,using,travel_label,from_option,to_option,color code,legend,code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_5_beta0_25,Boesky_alphaCE_0_5_beta0_5,beta,$\beta \uparrow$ ,0.25,0.50,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_5_beta0_5,Boesky_alphaCE_0_5_beta0_75,beta,$\beta \uparrow$ ,0.50,0.75,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_2_beta0_25,Boesky_alphaCE_2_beta0_5,beta,$\beta \uparrow$ ,0.25,0.50,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_2_beta0_5,Boesky_alphaCE_2_beta0_75,beta,$\beta \uparrow$ ,0.50,0.75,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_10_beta0_25,Boesky_alphaCE_10_beta0_5,beta,$\beta \uparrow$ ,0.25,0.50,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_10_beta0_5,Boesky_alphaCE_10_beta0_75,beta,$\beta \uparrow$ ,0.50,0.75,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_1_beta0_25,Boesky_alphaCE_0_5_beta0_25,alpha,$\alpha \uparrow$ ,0.1,0.5,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_5_beta0_25,Boesky_alphaCE_2_beta0_25,alpha,$\alpha \uparrow$ ,0.5,2,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_2_beta0_25,Boesky_alphaCE_10_beta0_25,alpha,$\alpha \uparrow$ ,2,10,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_1_beta0_5,Boesky_alphaCE_0_5_beta0_5,alpha,$\alpha \uparrow$ ,0.1,0.5,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_5_beta0_5,Boesky_alphaCE_2_beta0_5,alpha,$\alpha \uparrow$ ,0.5,2,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_2_beta0_5,Boesky_alphaCE_10_beta0_5,alpha,$\alpha \uparrow$ ,2,10,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_1_beta0_75,Boesky_alphaCE_0_5_beta0_75,alpha,$\alpha \uparrow$ ,0.1,0.5,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_0_5_beta0_75,Boesky_alphaCE_2_beta0_75,alpha,$\alpha \uparrow$ ,0.5,2,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_alphaCE_2_beta0_75,Boesky_alphaCE_10_beta0_75,alpha,$\alpha \uparrow$ ,2,10,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_sigma_30_RMP_D,Boesky_sigma_30_RMP_M,supernova,MM SN,delayed,MM SN,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boesky_sigma_30_RMP_D,Boesky_sigma_30_RMP_R,fryer,rapid SN,delayed,rapid,14,Boesky (2024),COMPAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
