,fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1]
.1.1.1,0.025908436,363.6827635,0.05626688294,306.6305498,0.0516481871,307.7750268,0.02778899781,365.0999378,0.0257310449,366.0875396,0.01595830277,657.1875528,0.01731911539,199.2862907,0.03153581798,311.1048262,0.0194313411,467.3513491,0.003544855964,283.1847547,0.01631683757,649.706534,0.01609701002,332.5725081,0.03255892917,414.9110674,0.02232974353,329.76208,0.02616863873,366.4380201,0.05178493983,415.9555419,0.06015749365,456.3408191,0.005577281281,435.5967548,0.01624814613,509.9786213,0.02914615135,136.7844214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.1.1.2,0.02923470868,42.18456798,0.05946645711,36.6223947,0.04524526166,41.60931854,0.02723641571,52.11799684,0.03077829684,42.28649332,0.01740999053,84.38962877,0.01561536621,25.13635842,0.03643516934,36.50940578,0.02473986363,56.22231917,0.003191720268,35.73568574,0.01691763858,83.42695525,0.01567450135,45.31012826,0.03687837772,48.9512375,0.02865547646,37.94089866,0.02900335242,42.40775479,0.08210810443,48.38483623,0.0985634612,53.77273058,0.004631861662,50.21224895,0.01498381677,106.0716051,0.03530302302,12.50574959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.1.1.3,0.04081928356,41.34044918,0.06162382307,39.20222976,0.04653774564,46.35918298,0.0338156708,56.40678674,0.04330074323,41.74291216,0.01768727307,121.6301617,0.01902458923,24.11460893,0.05004924927,35.13141215,0.03517121748,53.68610882,0.003796519069,29.11670999,0.01676320866,119.7012182,0.01959306552,44.31589249,0.0504784599,52.99293461,0.04066737642,35.22924705,0.04105963323,41.48036517,0.1222692491,50.69442587,0.1308906384,57.0555338,0.0008124638173,51.59483412,0.01736647215,135.4968017,0.04270694756,5.224005422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.1.2.1,0.02858342139,456.0366228,0.06309178493,374.4857774,0.05644917616,379.9985432,0.02999920721,460.0360777,0.02838335994,457.6969993,0.01960717826,714.3380111,0.0156330522,258.2510493,0.03614390195,398.7220659,0.0218426306,588.9507721,0.006918041361,412.0953745,0.0198840695,707.9054104,0.02110217752,423.5758485,0.03249803032,503.3017275,0.02633737529,422.1295143,0.02817050816,464.3385543,0.05207321088,507.9660568,0.06651315228,552.4864969,0.01213274371,524.3841731,0.02040481007,574.5052221,0.03670520559,232.1283372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.1.2.2,0.02963054202,112.8634194,0.06807483205,90.6148713,0.05265716712,101.5888393,0.02724988847,131.6642552,0.02997397809,113.5706862,0.02061288701,179.0236215,0.01181384983,68.81459752,0.0363668769,101.7371515,0.02464724544,153.196227,0.008045101062,115.8039187,0.02064741356,176.6527195,0.02137221276,111.6379735,0.03431133115,124.757,0.02942304285,105.0967285,0.02923615708,114.9382735,0.06087149298,123.6961293,0.0827440922,134.1467038,0.01265315926,126.5437355,0.01859713235,184.4622057,0.03995198028,53.80902299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.1.2.3,0.0289001089,116.019294,0.06265142472,97.02418164,0.0490019114,108.8721488,0.02711237605,137.1727614,0.0299141217,116.9711223,0.01806210381,219.9091358,0.01372888637,69.00881632,0.03524846563,102.1514052,0.02441318908,157.0229705,0.005611216202,104.4959133,0.01766419926,216.4708673,0.018617886,113.3943133,0.036,133.220,0.02811825011,105.8753008,0.02887537,117.2780116,0.06837435444,131.0258067,0.0845070004,143.2641565,0.007120975197,134.766591,0.01703526257,214.9662647,0.03563012676,41.89445501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.1.3.1,0.02966365961,472.9129257,0.06503171378,382.1550172,0.05808454158,390.2830916,0.03052643373,480.2562028,0.02940983067,474.7225016,0.02003859655,746.1894256,0.01501100994,270.1637696,0.0370539547,415.8236474,0.02318101121,614.0078411,0.007163615465,439.1543997,0.02039977812,739.7017993,0.02197454303,437.4199375,0.034,522.781,0.02723332717,437.2521449,0.02926561457,482.485939,0.05329010077,527.2743238,0.06744668619,574.2358655,0.01264398394,544.6020868,0.02110934582,593.4455745,0.03830365013,238.4882027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.1.3.2,0.03020604278,123.0212201,0.07118528781,95.74979401,0.05447991156,109.8519283,0.02726420652,144.8499335,0.03041199661,123.8802605,0.02172278514,186.8394399,0.01011851714,77.08810737,0.03730103904,111.9568471,0.02554010877,170.8616527,0.007448276885,132.2568781,0.02182633511,184.4028989,0.02276478009,121.5167943,0.03450420958,134.7250881,0.03008524993,115.4832639,0.02995583144,125.6624741,0.0616122723,133.5754732,0.08600808994,144.0501238,0.0145515485,135.5141031,0.01962428474,195.3008702,0.04122847854,62.31705253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.1.3.3,0.02794969068,127.2399729,0.06362954501,104.0825679,0.04961319158,118.7664747,0.02625163551,150.8775237,0.02923585886,128.3304106,0.01837340027,231.388314,0.01236263167,77.43348528,0.03527248695,112.806206,0.02386983516,175.8138749,0.004616261492,118.3283547,0.01775300263,227.6197257,0.01895718223,124.5621435,0.03531679096,144.6662312,0.02739868574,117.1876939,0.02810523648,128.7007965,0.06702939775,142.2077524,0.08480809057,154.3783289,0.008167227425,144.9294056,0.01726733332,228.5560182,0.03553350067,49.7113937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.2.1.1,0.02722835292,451.0769246,0.06244588336,367.310828,0.05242859195,384.1135556,0.02707768308,479.5723854,0.02645818613,454.0442551,0.01773302699,735.0146016,0.01408399675,262.9212049,0.03306058621,398.5483393,0.02089380198,592.2358907,0.0055058839,417.3055973,0.01853256478,726.2054407,0.01915832481,419.330044,0.03142375803,502.1138818,0.02434074027,416.7888949,0.02738287665,457.2696778,0.05066751446,501.2497149,0.06493602916,545.073367,0.009810718593,517.2563879,0.01817260191,594.9660441,0.03396184452,204.1710113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.2.1.2,0.02716698954,95.03745615,0.0638774499,76.83518743,0.04490773123,89.63675392,0.02449305565,118.5929131,0.02680066858,94.63965871,0.01866434572,146.2142976,0.01299647119,60.18976892,0.03345290391,84.27492337,0.02224083451,130.2189666,0.00396516726,98.03541587,0.01932243758,145.2571691,0.01779187661,95.85440216,0.03099040449,103.6854757,0.02635278703,88.30044876,0.02593563146,96.14780031,0.06542504557,103.4043572,0.08502789062,111.1816208,0.01041367191,103.1995791,0.01544886691,174.3120532,0.03899157881,39.72927521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.2.1.3,0.03629456574,66.26892127,0.05545969852,61.4259135,0.0435814432,73.38774972,0.02959654718,90.36302931,0.03697326922,66.19500602,0.01751804783,160.3796429,0.01603758749,39.83405267,0.04139738374,56.73946861,0.03181265637,89.57805133,0.00356455441,49.76818259,0.01739358419,159.1715358,0.01863120861,68.41024817,0.04469200247,80.78107267,0.03617602377,57.71463777,0.03648495085,66.47213861,0.1001146112,78.09289011,0.1091752733,85.39856745,0.0009774027794,77.45987173,0.01502339125,185.6351399,0.0441832736,9.467698828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.2.2.1,0.03254588679,534.944018,0.07205479178,424.6274501,0.05940816727,450.7282127,0.03069119991,580.0973547,0.03176413923,536.5995173,0.0230118089,782.280009,0.01318834866,317.7063195,0.03823438079,485.1572512,0.02531887859,700.8030599,0.01094088754,571.6002113,0.02374031551,775.5024034,0.02536636643,503.0733271,0.03446237037,579.8263045,0.03100996371,500.3758636,0.03124576734,549.824361,0.0540267507,581.0291164,0.07348435987,628.9784274,0.01721281516,593.1983682,0.02369772445,646.935995,0.04252996087,304.3190114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.2.2.2,0.03566338003,184.7169399,0.08240845738,140.1950977,0.05666163497,166.4387011,0.02814334371,232.4093943,0.03363344363,185.4725393,0.02555679641,255.3225502,0.00867909661,118.8921762,0.03655870078,174.4526398,0.02839843328,255.6897308,0.01290597242,233.4040158,0.02736158098,252.4974375,0.027415229,181.5508787,0.03585141028,197.3688851,0.03567775449,174.7841896,0.03359957282,190.8142397,6.03E-02,194.6391188,0.08829264108,208.8279868,0.02020798757,195.0345189,0.02288477538,262.6240101,0.04694407431,105.5584207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.2.2.3,0.03175169588,181.9868502,0.07155527422,145.1736912,0.05090642292,169.4766454,0.02661862939,226.1432334,0.03054508819,182.6916293,0.02077595245,291.7849945,0.01095755046,113.8676349,0.03330260441,166.4046622,0.02573453392,251.2814888,0.009450131158,199.1709868,0.02179497502,288.0678691,0.02251836452,176.9615286,3.51E-02,200.8163239,0.03117369861,169.4368603,0.03060925534,186.1327179,6.24E-02,197.4849825,0.08347932687,213.1504408,0.01263702151,199.2756715,0.01895058763,292.0636601,0.04207508887,82.42747806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.2.3.1,0.0333965355,551.3249015,0.07376728493,431.6207205,0.0607784025,460.6217387,0.03112038025,600.2116539,0.03256414756,553.059162,0.02332128807,812.1084746,0.01272895076,329.5435115,0.03909028543,502.0951333,0.02635089982,725.2895197,0.01097207879,599.548327,0.02412342012,805.4314826,0.0260358843,516.5827551,3.55E-02,598.5568286,0.03168363657,515.1676238,0.0321143943,567.5523129,5.50E-02,599.4468431,0.07426735624,649.748221,0.01761303764,612.3813505,0.02431260002,664.632019,0.04369502143,311.3843521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.2.3.2,0.03506321411,196.3999983,0.08302055314,146.4174909,0.05712104533,175.5193965,0.02803084799,246.1670239,0.03322837215,197.3077481,0.02585687281,264.9003299,0.007848062329,128.2941383,0.03799579708,185.5153531,0.02852147459,275.587069,0.01141019158,249.5746874,0.0275439732,261.9969219,0.02766264708,192.8094125,3.55E-02,209.1178137,0.03501095194,186.7717686,0.03350744133,202.881911,0.06047359992,206.4677982,0.09011909316,220.8091471,0.02098260256,205.8679248,0.02333953659,275.2731459,0.04652355688,114.8220423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.2.3.3,0.02796933125,196.0479381,0.06769941692,155.117048,0.04952727975,180.806252,0.02486627369,239.1228822,0.02806171523,196.8967264,0.01968656137,306.6567827,0.01071577294,123.61326,0.03350543163,177.4308189,0.02362698643,273.175061,0.006321841452,207.0135871,0.01983987613,302.5628384,0.02044927645,190.8983365,0.03262657032,215.6591433,0.02767166123,183.5605585,0.02759693548,199.3275635,0.05942776594,212.5956989,0.08091310691,228.0211912,0.01168832484,213.3834476,0.01778879614,309.4299666,0.03879449232,89.20534752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.3.1.1,0.02507493037,259.5247538,0.05608725911,217.7980342,0.05096784246,220.6393754,0.02668742989,263.3876461,0.02493649716,261.3006289,0.01585953932,456.9087972,0.01657043604,143.8582626,0.03071668898,222.9627307,0.01888123509,336.1985583,0.003381938877,206.2167237,0.0162369026,451.5261764,0.01582423336,238.1575848,0.03164133407,294.6824858,0.02173346071,236.3711055,0.02542928641,261.4298098,0.05024937347,295.0478293,0.05985376849,322.9398146,0.005676333655,308.3626168,0.01586062954,360.187719,0.02884205399,99.37220173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.3.1.2,0.02892425646,30.41103226,0.0587645554,26.50693156,0.04469290605,30.27033448,0.02683877693,37.86760684,0.03061817996,30.47917051,0.01730259894,60.74217812,0.01548486815,18.12020831,0.03620441501,26.32144786,0.02499130854,40.65845771,0.003048414403,25.45527486,0.0167970532,60.05281121,0.016,32.51529125,0.03715486151,35.3581477,0.02879450962,27.31706109,0.02888394319,30.547,0.08225156132,34.82887419,0.0996761733,38.49015243,0.004132900023,35.85047062,0.01481998847,76.45329976,0.03486662273,8.615485236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.3.1.3,0.04038372146,30.26462066,0.0614104718,28.64355279,0.04614565484,34.02599047,0.03333089402,41.57468134,0.04270335734,30.53555379,0.01764129494,87.38384252,0.01891837951,17.7348709,0.0498115592,25.79050553,0.03538982659,39.45535766,0.003802029762,21.51653809,0.01684678228,85.99735832,0.020,32.31223702,0.05065047668,38.67904303,0.0406810592,25.82516492,0.04067082333,30.36706791,0.1205772949,36.82773904,0.1304600964,40.94348743,0.0008279950744,37.00825108,0.01717926849,97.87221803,0.04303062292,3.818748911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.3.2.1,0.02838271201,323.5331913,0.06365041091,263.5886623,0.0562345417,270.2331333,0.02940564544,330.4654235,0.02818163949,324.7438252,0.01982677607,496.4515499,0.01492028342,185.5101274,0.03622715711,284.3436213,0.02181039357,420.6466168,0.006906512763,299.8526461,0.02014541811,491.9495378,0.021,301.2752005,0.03219828911,355.757241,0.0262695783,300.5052202,0.02802789381,329.5566571,0.05152268526,358.4824296,0.06727128136,389.1993933,0.01261330054,369.1181816,0.02042383104,404.1810983,0.03695170644,167.2905031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.3.2.2,0.02887699374,83.02062198,0.06751622022,66.47701782,0.0520355724,74.93857769,0.02663761369,97.36119957,0.02944393957,83.53643411,0.02051509817,129.6857004,0.01154966171,50.93065623,0.03620483113,74.93573085,0.02438203748,113.2109873,0.007628370411,85.45881912,0.02044823273,127.9410987,0.0211417974,81.98860676,0.03391320634,91.61358403,0.02895910545,77.45040826,0.0286776371,84.4842672,0.05981004066,90.69685043,0.08258506464,98.04156858,0.01257550272,92.4310018,0.01834772974,134.3090964,0.03964049198,39.46868565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.3.2.3,0.02802541816,85.05593839,0.06200235785,71.00056117,0.04838510169,80.02446904,0.02642982193,101.0366204,0.02924523464,85.74548979,0.01796737817,157.9063954,0.01344942243,50.88053098,0.03482071111,75.02258361,0.02414637677,115.689634,0.005275353011,76.90787257,0.01749795018,155.3884776,0.01840388832,83.11062434,0.03600543622,97.38888756,0.02761866008,77.80828332,0.0281645143,85.9184012,0.06659818927,95.63796152,0.08353726384,104.104247,0.007048897938,97.99923309,0.01669604591,155.7497142,0.03523702316,30.70544034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.3.3.1,0.02938307203,335.4437246,0.06549330481,269.14718,0.05777623895,277.6019827,0.02988150654,344.7119024,0.02911746891,336.7446361,0.0202259192,518.0091929,0.01434943432,193.8960187,0.03707038828,296.3941282,0.02303540249,438.295999,0.007130299253,318.821507,0.02063767977,513.5025112,0.02203187431,311.1311095,0.03338345684,369.387759,0.02709240391,311.2653943,0.02903913872,342.3335321,0.05262554524,371.9786261,0.068126653,404.3528893,0.01310677491,383.2138697,0.02109684971,417.2002139,0.0384134882,172.1027623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.3.3.2,0.02946382267,90.09858407,0.0703636971,70.14194861,0.05370191679,80.73912443,0.02666933791,106.543589,0.02983547522,90.71749453,0.02150945699,135.3506085,0.01002297043,56.64871382,0.03702929132,82.02745925,0.02517643577,125.3986896,0.007120405826,96.7574204,0.02154669132,133.5644145,0.02241314419,88.86622821,0.0341058786,98.59364439,0.0296021291,84.66429707,0.0293725974,91.93777761,0.06049761049,97.59924799,0.08559616677,104.963144,0.01429571924,98.70738267,0.01929538734,141.980965,0.04078041254,45.28736775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.3.3.3,0.02731653789,92.8060035,0.06305887591,75.93142044,0.04902225354,86.90258969,0.02570977022,110.5808985,0.02870534298,93.58817154,0.01826926815,166.091146,0.01222825204,56.6748973,0.03483829352,82.41083208,0.02370101306,128.5951042,0.004470980833,86.49940164,0.01763245723,163.3381272,0.01879397185,90.82603353,0.03500277036,105.3316355,0.02709785554,85.59840376,0.02759072869,93.81752768,0.06538151621,103.3599756,0.08369134306,111.7677213,0.008024914116,105.0188422,0.01693398965,165.2401255,0.03520825113,36.03308182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
