Z,alpha,BHBH,BHBHm,BHNS,BHNSm,NSNS,NSNSm,BHBHI,BHBHII,BHBHIII,BHBHIIIa,BHBHIIIb,BHBHIV,BHBHIVa,BHBHIVb,BHBHC1,BHBHK1,BHBHC2,BHBHK2,BHBHC3,BHBHK3,BHBHSt,BHBHSu,BHBHmI,BHBHmII,BHBHmIII,BHBHmIIIa,BHBHmIIIb,BHBHmIV,BHBHmIVa,BHBHmIVb,BHBHmC1,BHBHmK1,BHBHmC2,BHBHmK2,BHBHmC3,BHBHmK3,BHBHmSt,BHBHmSu,BHNSI,BHNSII,BHNSIII,BHNSIIIa,BHNSIIIb,BHNSIV,BHNSIVa,BHNSIVb,BHNSC1,BHNSK1,BHNSC2,BHNSK2,BHNSC3,BHNSK3,BHNSSt,BHNSSu,BHNSmI,BHNSmII,BHNSmIII,BHNSmIIIa,BHNSmIIIb,BHNSmIV,BHNSmIVa,BHNSmIVb,BHNSmC1,BHNSmK1,BHNSmC2,BHNSmK2,BHNSmC3,BHNSmK3,BHNSmSt,BHNSmSu,NSNSI,NSNSII,NSNSIII,NSNSIIIa,NSNSIIIb,NSNSIV,NSNSIVa,NSNSIVb,NSNSC1,NSNSK1,NSNSC2,NSNSK2,NSNSC3,NSNSK3,NSNSSt,NSNSSu,NSNSmI,NSNSmII,NSNSmIII,NSNSmIIIa,NSNSmIIIb,NSNSmIV,NSNSmIVa,NSNSmIVb,NSNSmC1,NSNSmK1,NSNSmC2,NSNSmK2,NSNSmC3,NSNSmK3,NSNSmSt,NSNSmSu,label
0.006,1.0,27580,3038,5940,1298,2583,1411,6332,9876,580,0,580,2159,1313,846,9117,26,7,0,0,0,37562,0,2613,130,0,0,0,292,76,216,2907,9,0,0,0,0,6067,0,2427,1376,1725,0,1725,363,328,35,3161,26,1370,0,0,0,11690,15,998,151,17,0,17,132,111,21,1128,14,19,0,0,0,2576,15,847,0,446,0,446,1288,1200,88,829,63,1306,0,447,0,3791,1371,758,0,434,0,434,219,193,26,53,50,911,0,447,0,1458,1364,fiducial_Hrad
0.008,1.0,25945,1250,5691,475,2612,1481,6388,5901,1272,0,1272,2513,1803,710,10203,50,23,0,0,0,33365,0,1068,80,0,0,0,101,6,95,1169,5,0,0,0,0,2497,0,1850,1121,2125,0,2125,515,473,42,2757,5,1749,0,0,0,11093,5,258,130,18,0,18,68,52,16,331,1,14,0,0,0,942,5,826,0,533,0,533,1248,1165,83,789,63,1264,0,555,0,3774,1441,750,0,511,0,511,220,198,22,48,58,878,0,555,0,1533,1429,fiducial_Hrad
0.01,1.0,25083,369,5397,307,2304,1324,5716,6204,506,0,506,2148,1606,542,8388,23,46,0,0,0,37259,0,142,197,0,0,0,30,0,30,172,0,0,0,0,0,737,0,1939,846,1969,0,1969,450,409,41,2719,9,1658,0,0,0,10279,3,159,94,27,0,27,27,20,7,191,1,22,0,0,0,611,3,545,1,693,0,693,1030,948,82,603,58,950,0,716,0,3241,1295,508,0,676,0,676,140,125,15,27,55,581,0,716,0,1352,1295,fiducial_Hrad
0.014,1.0,21071,36,5237,122,2303,1522,3477,3697,213,0,213,1471,1239,232,5230,8,286,0,0,0,33596,0,16,1,0,0,0,19,1,18,35,0,0,0,0,0,71,0,864,207,3464,0,3464,427,407,20,1618,0,3173,0,0,0,9907,4,32,6,78,0,78,6,5,1,51,0,65,0,0,0,240,2,549,5,857,0,857,845,784,61,443,56,953,0,855,0,2977,1528,527,0,826,0,826,169,152,17,14,52,653,0,855,0,1519,1524,fiducial_Hrad
0.017,1.0,21011,39,4838,106,2510,1787,2965,3810,17,0,17,1303,1147,156,4792,12,55,0,0,0,35732,34,12,9,0,0,0,16,2,14,28,0,0,0,0,0,76,0,1587,246,2411,0,2411,360,343,17,2132,6,2386,0,0,0,9338,56,54,5,34,0,34,8,8,0,67,0,34,0,0,0,203,5,542,0,1007,0,1007,956,916,40,412,71,973,0,1121,0,3090,1920,538,0,960,0,960,289,279,10,11,65,655,0,1121,0,1666,1907,fiducial_Hrad
0.02,1.0,15929,7,4227,85,2902,2189,1461,3099,0,0,0,627,545,82,2717,19,8,0,0,0,27752,47,0,0,0,0,0,6,0,6,6,0,0,0,0,0,13,0,1539,235,1629,0,1629,213,208,5,2299,13,1630,0,0,0,8133,126,41,2,22,0,22,9,8,1,61,0,22,0,0,0,162,4,651,1,1125,0,1125,1118,1083,35,405,80,1065,0,1425,0,3260,2530,636,0,1084,0,1084,469,458,11,9,75,755,0,1425,0,1871,2506,fiducial_Hrad
0.03,1.0,7864,2,3593,88,3014,2428,245,2279,0,0,0,20,0,20,363,8,0,0,0,0,14490,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1994,61,101,0,101,131,130,1,3401,19,100,0,0,0,7083,23,62,2,0,0,0,2,2,0,86,1,0,0,0,0,174,2,503,0,1148,0,1148,1361,1334,27,323,119,865,0,1824,0,2973,3050,472,0,1126,0,1126,830,820,10,11,110,593,0,1824,0,1817,3038,fiducial_Hrad
0.0001,3.0,29433,6788,6408,1416,7256,6680,1760,14988,1317,0,1317,1632,142,1490,4485,1554,269,5,6,0,15967,323,1675,3445,229,0,229,1425,78,1347,3067,825,268,4,6,0,11623,290,1323,2345,2583,0,2583,3,0,3,3364,1641,547,1,84,0,8294,723,740,387,277,0,277,3,0,3,399,388,546,1,84,0,1695,723,3651,0,3553,0,3553,43,29,14,154,3764,3975,2,3125,0,7801,6697,3520,0,3130,0,3130,27,25,2,4,3666,3551,2,3125,0,6659,6695,fiducial_Hrad
0.0002,3.0,31106,5230,5909,1237,5476,3537,2119,17000,941,0,941,1564,131,1433,4458,782,182,0,0,0,17659,216,1868,2139,49,0,49,1165,17,1148,2920,442,169,0,0,0,9507,183,1309,2266,2220,0,2220,8,0,8,3012,739,544,0,23,0,7653,626,710,394,121,0,121,8,0,8,320,179,500,0,23,0,1561,626,3331,0,1985,0,1985,153,70,83,1053,370,3290,0,1131,0,7341,3596,2362,0,1090,0,1090,84,63,21,13,285,2406,0,1118,0,3488,3581,fiducial_Hrad
0.0004,3.0,30682,6300,6006,1410,4911,3987,3695,13754,1709,0,1709,2230,102,2128,6941,829,773,0,0,0,24677,146,2342,1819,295,0,295,1836,38,1798,4226,486,254,0,0,0,12056,58,679,1017,4119,0,4119,116,2,114,2789,915,2079,0,65,0,10614,643,629,321,354,0,354,105,2,103,390,214,634,0,65,0,2127,643,3198,0,1024,0,1024,683,583,100,686,854,3428,0,795,0,5623,4189,2738,0,763,0,763,486,471,15,33,799,3185,0,769,0,3826,4147,fiducial_Hrad
